"species","year","country","mean"
"Aeshna_caerulea",2001,"Belgium",0
"Aeshna_caerulea",2001,"Cyprus",0
"Aeshna_caerulea",2001,"Czechia",0.00272
"Aeshna_caerulea",2001,"Denmark",0
"Aeshna_caerulea",2001,"Finland",0.21767
"Aeshna_caerulea",2001,"France",0.00022
"Aeshna_caerulea",2001,"Ireland",5e-05
"Aeshna_caerulea",2001,"Isle of Man",0
"Aeshna_caerulea",2001,"Italy",0.00742
"Aeshna_caerulea",2001,"Luxembourg",0
"Aeshna_caerulea",2001,"Netherlands",0
"Aeshna_caerulea",2001,"Norway",0.45793
"Aeshna_caerulea",2001,"Portugal",0
"Aeshna_caerulea",2001,"Slovenia",5e-05
"Aeshna_caerulea",2001,"Spain",1e-05
"Aeshna_caerulea",2001,"Sweden",0.28422
"Aeshna_caerulea",2001,"Switzerland",0.09789
"Aeshna_caerulea",2001,"United Kingdom",0.01738
"Aeshna_caerulea",2001,"All",0.10155
"Aeshna_caerulea",2002,"Austria",0.10975
"Aeshna_caerulea",2002,"Belgium",0
"Aeshna_caerulea",2002,"Cyprus",0
"Aeshna_caerulea",2002,"Czechia",0.0036
"Aeshna_caerulea",2002,"Denmark",0
"Aeshna_caerulea",2002,"Finland",0.24918
"Aeshna_caerulea",2002,"France",3e-04
"Aeshna_caerulea",2002,"Ireland",9e-05
"Aeshna_caerulea",2002,"Isle of Man",0
"Aeshna_caerulea",2002,"Italy",0.00923
"Aeshna_caerulea",2002,"Luxembourg",0
"Aeshna_caerulea",2002,"Netherlands",0
"Aeshna_caerulea",2002,"Norway",0.49791
"Aeshna_caerulea",2002,"Portugal",0
"Aeshna_caerulea",2002,"Slovenia",8e-05
"Aeshna_caerulea",2002,"Spain",1e-05
"Aeshna_caerulea",2002,"Sweden",0.31292
"Aeshna_caerulea",2002,"Switzerland",0.11943
"Aeshna_caerulea",2002,"United Kingdom",0.0212
